詞	詞頻	注音	分類	作品名稱
情色	20	ㄑㄧㄥˊ ㄙㄜˋ	動漫	情色漫畫老師
情色漫畫	20	ㄑㄧㄥˊ ㄙㄜˋ ㄇㄢˋ ㄏㄨㄚˋ	動漫	情色漫畫老師
惠惠	17	ㄏㄨㄟˋ ㄏㄨㄟˋ	動漫	為美好的世界獻上祝福
惠飛須澤	15	ㄏㄨㄟˋ ㄈㄟ ㄒㄩ ㄗㄜˊ	動漫	學園孤島
惡羅王	12	ㄜˋ ㄌㄨㄛˊ ㄨㄤˊ	動漫	元氣少女緣結神
惡靈	12	ㄜˋ ㄌㄧㄥˊ	動漫	黑暗集會
惡魔人	12	ㄜˋ ㄇㄛˊ ㄖㄣˊ	動漫	DEVILMAN crybaby
惡魔的足跡	13	ㄜˋ ㄇㄛˊ ㄉㄜ˙ ㄗㄨˊ ㄐㄧ	動漫	炎炎消防隊
惣流明日香	17	ㄗㄨㄥˇ ㄌㄧㄡˊ ㄇㄧㄥˊ ㄖˋ ㄒㄧㄤ	動漫	新世紀福音戰士
想要玩	20	ㄒㄧㄤˇ ㄧㄠˋ ㄨㄢˊ	動漫	宇崎學妹想要玩！
愚地獨步	14	ㄩˊ ㄉㄧˋ ㄉㄨˊ ㄅㄨˋ	動漫	刃牙
愛因茲貝倫	17	ㄞˋ ㄧㄣ ㄗ ㄅㄟˋ ㄌㄨㄣˊ	動漫	Fate/Zero
愛城華戀	18	ㄞˋ ㄔㄥˊ ㄏㄨㄚˊ ㄌㄧㄢˋ	動漫	少女歌劇Revue Starlight
愛姆露	13	ㄞˋ ㄇㄨˇ ㄌㄨˋ	動漫	香格里拉・開拓異境
愛德	13	ㄞˋ ㄉㄜˊ	動漫	星際牛仔
愛德華	24	ㄞˋ ㄉㄜˊ ㄏㄨㄚˊ	動漫	鋼之鍊金術師
愛莉兒	13	ㄞˋ ㄌㄧˋ ㄦˊ	動漫	轉生成蜘蛛又怎樣
愛蜜莉雅	21	ㄞˋ ㄇㄧˋ ㄌㄧˋ ㄧㄚˇ	動漫	Re:從零開始的異世界生活
愛野美奈子	14	ㄞˋ ㄧㄝˇ ㄇㄟˇ ㄋㄞˋ ㄗˇ	動漫	美少女戰士
愛麗絲	88	ㄞˋ ㄌㄧˋ ㄙ	動漫	刀劍神域
愛麗絲菲爾	17	ㄞˋ ㄌㄧˋ ㄙ ㄈㄟ ㄦˇ	動漫	Fate/Zero
憂國	22	ㄧㄡ ㄍㄨㄛˊ	動漫	憂國的莫里亞蒂
憂鬱	25	ㄧㄡ ㄩˋ	動漫	涼宮春日的憂鬱
懲罰你	15	ㄔㄥˊ ㄈㄚˊ ㄋㄧˇ	動漫	美少女戰士
戀愛	26	ㄌㄧㄢˋ ㄞˋ	動漫	果然我的青春戀愛喜劇搞錯了
戀愛與謊言	18	ㄌㄧㄢˋ ㄞˋ ㄩˇ ㄏㄨㄤˇ ㄧㄢˊ	動漫	戀愛與謊言
成名錄	21	ㄔㄥˊ ㄇㄧㄥˊ ㄌㄨˋ	動漫	盾之勇者成名錄
成瀨翔	15	ㄔㄥˊ ㄌㄞˋ ㄒㄧㄤˊ	動漫	orange橘色奇蹟
成為	19	ㄔㄥˊ ㄨㄟˊ	動漫	航海王
我們這一家	26	ㄨㄛˇ ㄇㄣˊ ㄓㄜˋ ㄧ ㄐㄧㄚ	動漫	我們這一家
我出發了	15	ㄨㄛˇ ㄔㄨ ㄈㄚ ㄌㄜ˙	動漫	鈴芽之旅
我妻善逸	19	ㄨㄛˇ ㄑㄧ ㄕㄢˋ ㄧˋ	動漫	鬼滅之刃
我妻由乃	17	ㄨㄛˇ ㄑㄧ ㄧㄡˊ ㄋㄞˇ	動漫	未來日記
我很好奇	14	ㄨㄛˇ ㄏㄣˇ ㄏㄠˇ ㄑㄧˊ	動漫	冰菓
我愛羅	15	ㄨㄛˇ ㄞˋ ㄌㄨㄛˊ	動漫	火影忍者
我推的孩子	26	ㄨㄛˇ ㄊㄨㄟ ㄉㄜ˙ ㄏㄞˊ ㄗ˙	動漫	我推的孩子
我是天才	16	ㄨㄛˇ ㄕˋ ㄊㄧㄢ ㄘㄞˊ	動漫	灌籃高手
我是鋼彈	13	ㄨㄛˇ ㄕˋ ㄍㄤ ㄉㄢˋ	動漫	機動戰士鋼彈00
我的回合	14	ㄨㄛˇ ㄉㄜ˙ ㄏㄨㄟˊ ㄏㄜˊ	動漫	遊戲王
戰區	23	ㄓㄢˋ ㄑㄩ	動漫	86－不存在的戰區－
戰場原黑儀	18	ㄓㄢˋ ㄔㄤˇ ㄩㄢˊ ㄏㄟ ㄧˊ	動漫	物語系列
戰慄的龍卷	15	ㄓㄢˋ ㄌㄧˋ ㄉㄜ˙ ㄌㄨㄥˊ ㄐㄩㄢˇ	動漫	一拳超人
戰爭	15	ㄓㄢˋ ㄓㄥ	動漫	輝夜姬想讓人告白
戰記	21	ㄓㄢˋ ㄐㄧˋ	動漫	新機動戰記鋼彈W
戴安娜	13	ㄉㄞˋ ㄢ ㄋㄚˋ	動漫	小魔女學園
戴拿賽諾	10	ㄉㄞˋ ㄋㄚˊ ㄙㄞˋ ㄋㄨㄛˋ	動漫	SSSS.DYNAZENON
戴露塔	10	ㄉㄞˋ ㄌㄨˋ ㄊㄚˇ	動漫	海貓鳴泣之時
戶塚彩加	12	ㄏㄨˋ ㄓㄨㄥˇ ㄘㄞˇ ㄐㄧㄚ	動漫	果然我的青春戀愛喜劇搞錯了
戶山香澄	20	ㄏㄨˋ ㄕㄢ ㄒㄧㄤ ㄔㄥˊ	動漫	BanG Dream!
戶愚呂弟	12	ㄏㄨˋ ㄩˊ ㄌㄩˇ ㄉㄧˋ	動漫	幽遊白書
手塚國光	18	ㄕㄡˇ ㄓㄨㄥˇ ㄍㄨㄛˊ ㄍㄨㄤ	動漫	網球王子
手記	15	ㄕㄡˇ ㄐㄧˋ	動漫	紫羅蘭永恆花園
托席	14	ㄊㄨㄛ ㄒㄧˊ	動漫	北斗神拳
托爾芬	20	ㄊㄨㄛ ㄦˇ ㄈㄣ	動漫	Vinland Saga海盜戰記
托爾茲	13	ㄊㄨㄛ ㄦˇ ㄗ	動漫	Vinland Saga海盜戰記
找到你了	14	ㄓㄠˇ ㄉㄠˋ ㄋㄧˇ ㄌㄜ˙	動漫	未聞花名
投手	19	ㄊㄡˊ ㄕㄡˇ	動漫	王牌投手振臂高揮
投手丘	10	ㄊㄡˊ ㄕㄡˇ ㄑㄧㄡ	動漫	王牌投手振臂高揮
折原臨也	13	ㄓㄜˊ ㄩㄢˊ ㄌㄧㄣˊ ㄧㄝˇ	動漫	無頭騎士異聞錄DuRaRaRa!!
折木奉太郎	22	ㄓㄜˊ ㄇㄨˋ ㄈㄥˋ ㄊㄞˋ ㄌㄤˊ	動漫	冰菓
披集朱拉暖	13	ㄆㄧ ㄐㄧˊ ㄓㄨ ㄌㄚ ㄋㄨㄢˇ	動漫	冰上的尤里
押水菜子	13	ㄧㄚ ㄕㄨㄟˇ ㄘㄞˋ ㄗˇ	動漫	花開物語
拉克絲	17	ㄌㄚ ㄎㄜˋ ㄙ	動漫	機動戰士鋼彈SEED
拉克萊科	13	ㄌㄚ ㄎㄜˋ ㄌㄞˊ ㄎㄜ	動漫	神之塔
拉姆	17	ㄌㄚ ㄇㄨˇ	動漫	Re:從零開始的異世界生活
拉姆達	10	ㄌㄚ ㄇㄨˇ ㄉㄚˊ	動漫	海貓鳴泣之時
拉巴伯溫拿	12	ㄌㄚ ㄅㄚ ㄅㄛˊ ㄨㄣ ㄋㄚˊ	動漫	新機動戰記鋼彈W
拉德魯索	10	ㄌㄚ ㄉㄜˊ ㄌㄨˇ ㄙㄨㄛˇ	動漫	BACCANO!大騷動!
拉拉	13	ㄌㄚ ㄌㄚ	動漫	小魔女DoReMi
拉斐爾	14	ㄌㄚ ㄈㄟˇ ㄦˇ	動漫	地。－關於地球的運動－
拉普達	15	ㄌㄚ ㄆㄨˇ ㄉㄚˊ	動漫	天空之城
拉歐	16	ㄌㄚ ㄡ	動漫	北斗神拳
拉比	12	ㄌㄚ ㄅㄧˇ	動漫	驅魔少年
拉芙塔莉雅	16	ㄌㄚ ㄈㄨˊ ㄊㄚˇ ㄌㄧˋ ㄧㄚˇ	動漫	盾之勇者成名錄
拉雪特	11	ㄌㄚ ㄒㄩㄝˇ ㄊㄜˋ	動漫	君主·埃爾梅羅二世事件簿
招待不周	13	ㄓㄠ ㄉㄞˋ ㄅㄨˋ ㄓㄡ	動漫	食戟之靈
拳四郎	21	ㄑㄩㄢˊ ㄙˋ ㄌㄤˊ	動漫	北斗神拳
拳擊	23	ㄑㄩㄢˊ ㄐㄧˊ	動漫	第一神拳
拳願競技	12	ㄑㄩㄢˊ ㄩㄢˋ ㄐㄧㄥˋ ㄐㄧˋ	動漫	拳願阿修羅
拳願阿修羅	20	ㄑㄩㄢˊ ㄩㄢˋ ㄚ ㄒㄧㄡ ㄌㄨㄛˊ	動漫	拳願阿修羅
振臂	18	ㄓㄣˋ ㄅㄧˋ	動漫	王牌投手振臂高揮
捉弄	20	ㄓㄨㄛ ㄋㄨㄥˋ	動漫	擅長捉弄人的高木同學
捉弄人	23	ㄓㄨㄛ ㄋㄨㄥˋ ㄖㄣˊ	動漫	擅長捉弄人的高木同學
掌中老虎	14	ㄓㄤˇ ㄓㄨㄥ ㄌㄠˇ ㄏㄨˇ	動漫	龍與虎
排球少年	13	ㄆㄞˊ ㄑㄧㄡˊ ㄕㄠˋ ㄋㄧㄢˊ	動漫	排球少年
推的孩子	15	ㄊㄨㄟ ㄉㄜ˙ ㄏㄞˊ ㄗ˙	動漫	我推的孩子
提耶利亞	13	ㄊㄧˊ ㄧㄝ ㄌㄧˋ ㄧㄚˇ	動漫	機動戰士鋼彈00
換裝	24	ㄏㄨㄢˋ ㄓㄨㄤ	動漫	戀上換裝娃娃
換裝娃娃	25	ㄏㄨㄢˋ ㄓㄨㄤ ㄨㄚˊ ㄨㄚˊ	動漫	戀上換裝娃娃
搖曳露營	24	ㄧㄠˊ ㄧˋ ㄌㄨˋ ㄧㄥˊ	動漫	搖曳露營
摩訶亞爾邦	17	ㄇㄛˊ ㄏㄜ ㄧㄚˇ ㄦˇ ㄅㄤ	動漫	噬魂者
撒旦之子	12	ㄙㄚ ㄉㄢˋ ㄓ ㄗˇ	動漫	青之驅魔師
播磨拳兒	15	ㄅㄛˋ ㄇㄛˊ ㄑㄩㄢˊ ㄦˊ	動漫	校園迷糊大王
擅長	24	ㄕㄢˋ ㄔㄤˊ	動漫	擅長捉弄人的高木同學
擅長逃跑	20	ㄕㄢˋ ㄔㄤˊ ㄊㄠˊ ㄆㄠˇ	動漫	擅長逃跑的殿下
攻殼機動隊	4	ㄍㄨㄥ ㄎㄜˊ ㄐㄧ ㄉㄨㄥˋ ㄉㄨㄟˋ	動漫	攻殼機動隊
政府通知	10	ㄓㄥˋ ㄈㄨˇ ㄊㄨㄥ ㄓ	動漫	戀愛與謊言
敕使	16	ㄔˋ ㄕˇ	動漫	你的名字
敗北女角	23	ㄅㄞˋ ㄅㄟˇ ㄋㄩˇ ㄐㄧㄠˇ	動漫	敗北女角太多了
教師	23	ㄐㄧㄠˋ ㄕ	動漫	靈異教師神眉
散華禮彌	18	ㄙㄢˋ ㄏㄨㄚˊ ㄌㄧˇ ㄇㄧˊ	動漫	散華禮彌
數碼寶貝	25	ㄕㄨˋ ㄇㄚˇ ㄅㄠˇ ㄅㄟˋ	動漫	數碼寶貝大冒險
文學少女	13	ㄨㄣˊ ㄒㄩㄝˊ ㄕㄠˋ ㄋㄩˇ	動漫	男子高中生的日常
文豪	24	ㄨㄣˊ ㄏㄠˊ	動漫	文豪Stray Dogs
斐迪南	16	ㄈㄟˇ ㄉㄧˊ ㄋㄢˊ	動漫	小書痴的下剋上
斬子	20	ㄓㄢˇ ㄗ˙	動漫	天國大魔境
斯克	13	ㄙ ㄎㄜˋ	動漫	君主·埃爾梅羅二世事件簿
斯卡	12	ㄙ ㄎㄚˇ	動漫	鋼之鍊金術師
斯芬古	11	ㄙ ㄈㄣ ㄍㄨˇ	動漫	君主·埃爾梅羅二世事件簿
斯雷因	15	ㄙ ㄌㄟˊ ㄧㄣ	動漫	ALDNOAH.ZERO
斯露	20	ㄙ ㄌㄨˋ	動漫	零之使魔
新世界	15	ㄒㄧㄣ ㄕˋ ㄐㄧㄝˋ	動漫	死亡筆記本
新世紀	25	ㄒㄧㄣ ㄕˋ ㄐㄧˋ	動漫	新世紀福音戰士
新垣綾瀨	12	ㄒㄧㄣ ㄩㄢˊ ㄌㄧㄥˊ ㄌㄞˋ	動漫	我的妹妹哪有這麼可愛
新娘	24	ㄒㄧㄣ ㄋㄧㄤˊ	動漫	五等分的新娘
新條直輝	14	ㄒㄧㄣ ㄊㄧㄠˊ ㄓˊ ㄏㄨㄟ	動漫	閃電霹靂車
新條茜	12	ㄒㄧㄣ ㄊㄧㄠˊ ㄑㄧㄢˋ	動漫	SSSS.GRIDMAN
新機動	20	ㄒㄧㄣ ㄐㄧ ㄉㄨㄥˋ	動漫	新機動戰記鋼彈W
新門紅丸	10	ㄒㄧㄣ ㄇㄣˊ ㄏㄨㄥˊ ㄨㄢˊ	動漫	炎炎消防隊
旅行	843	ㄌㄩˇ ㄒㄧㄥˊ	動漫	少女終末旅行
旋風管家	22	ㄒㄩㄢˋ ㄈㄥ ㄍㄨㄢˇ ㄐㄧㄚ	動漫	旋風管家
旗木卡卡西	17	ㄑㄧˊ ㄇㄨˋ ㄎㄚˇ ㄎㄚˇ ㄒㄧ	動漫	火影忍者
日向冬樹	11	ㄖˋ ㄒㄧㄤˋ ㄉㄨㄥ ㄕㄨˋ	動漫	Keroro軍曹
日向夏美	10	ㄖˋ ㄒㄧㄤˋ ㄒㄧㄚˋ ㄇㄟˇ	動漫	Keroro軍曹
日向秀樹	14	ㄖˋ ㄒㄧㄤˋ ㄒㄧㄡˋ ㄕㄨˋ	動漫	Angel Beats!
日向翔陽	24	ㄖˋ ㄒㄧㄤˋ ㄒㄧㄤˊ ㄧㄤˊ	動漫	排球少年
日向雛田	12	ㄖˋ ㄒㄧㄤˋ ㄔㄨˊ ㄊㄧㄢˊ	動漫	火影忍者
日和	21	ㄖˋ ㄏㄜˊ	動漫	悠悠哉哉少女日和
日常	503	ㄖˋ ㄔㄤˊ	動漫	日常
日暮永遠	18	ㄖˋ ㄇㄨˋ ㄩㄥˇ ㄩㄢˇ	動漫	半妖的夜叉姬
日暮籬	20	ㄖˋ ㄇㄨˋ ㄌㄧˊ	動漫	犬夜叉
日比野	21	ㄖˋ ㄅㄧˇ ㄧㄝˇ	動漫	怪獸8號
日番谷	10	ㄖˋ ㄈㄢ ㄍㄨˇ	動漫	BLEACH死神
早乙女亂馬	23	ㄗㄠˇ ㄧˇ ㄋㄩˇ ㄌㄨㄢˋ ㄇㄚˇ	動漫	亂馬1/2
早坂愛	11	ㄗㄠˇ ㄅㄢˇ ㄞˋ	動漫	輝夜姬想讓人告白
早坂紫	17	ㄗㄠˇ ㄅㄢˇ ㄗˇ	動漫	天堂之吻
早川秋	17	ㄗㄠˇ ㄔㄨㄢ ㄑㄧㄡ	動漫	鏈鋸人
旭日之心	12	ㄒㄩˋ ㄖˋ ㄓ ㄒㄧㄣ	動漫	魔法少女奈葉
昆阿圭羅	15	ㄎㄨㄣ ㄚ ㄍㄨㄟ ㄌㄨㄛˊ	動漫	神之塔
明日	23	ㄇㄧㄥˊ ㄖˋ	動漫	來自風平浪靜的明日
明智健悟	15	ㄇㄧㄥˊ ㄓˋ ㄐㄧㄢˋ ㄨˋ	動漫	金田一少年之事件簿
明神彌彥	15	ㄇㄧㄥˊ ㄕㄣˊ ㄇㄧˊ ㄧㄢˋ	動漫	神劍闖江湖
星井美希	15	ㄒㄧㄥ ㄐㄧㄥˇ ㄇㄟˇ ㄒㄧ	動漫	偶像大師
星子	11	ㄒㄧㄥ ㄗ˙	動漫	膽大黨
星川莉莉	10	ㄒㄧㄥ ㄔㄨㄢ ㄌㄧˋ ㄌㄧˋ	動漫	佐賀偶像是傳奇
星星	237	ㄒㄧㄥ ㄒㄧㄥ	動漫	荒川爆笑團
星空凜	13	ㄒㄧㄥ ㄎㄨㄥ ㄌㄧㄣˇ	動漫	Love Live!
星野宮子	17	ㄒㄧㄥ ㄧㄝˇ ㄍㄨㄥ ㄗ˙	動漫	天使降臨到我身邊
星野愛	24	ㄒㄧㄥ ㄧㄝˇ ㄞˋ	動漫	我推的孩子
星野日向	13	ㄒㄧㄥ ㄧㄝˇ ㄖˋ ㄒㄧㄤˋ	動漫	天使降臨到我身邊
星際牛仔	22	ㄒㄧㄥ ㄐㄧˋ ㄋㄧㄡˊ ㄗㄞˇ	動漫	星際牛仔
星馳阿魯斯	11	ㄒㄧㄥ ㄔˊ ㄚ ㄌㄨˇ ㄙ	動漫	異修羅
映像研	20	ㄧㄥˋ ㄒㄧㄤˋ ㄧㄢˊ	動漫	別對映像研出手！
春野櫻	19	ㄔㄨㄣ ㄧㄝˇ ㄧㄥ	動漫	火影忍者
春風	20	ㄔㄨㄣ ㄈㄥ	動漫	小魔女DoReMi
昭和	20	ㄓㄠ ㄏㄜˊ	動漫	昭和元祿落語心中
時崎狂三	13	ㄕˊ ㄑㄧˊ ㄎㄨㄤˊ ㄙㄢ	動漫	約會大作戰
時雄	15	ㄕˊ ㄒㄩㄥˊ	動漫	天國大魔境
晨曦公主	22	ㄔㄣˊ ㄒㄧ ㄍㄨㄥ ㄓㄨˇ	動漫	晨曦公主
普利謝茨基	15	ㄆㄨˇ ㄌㄧˋ ㄒㄧㄝˋ ㄘˊ ㄐㄧ	動漫	冰上的尤里
普羅	15	ㄆㄨˇ ㄌㄨㄛˊ	動漫	BACCANO!大騷動!
普魯托	10	ㄆㄨˇ ㄌㄨˇ ㄊㄨㄛ	動漫	PLUTO冥王
智將	12	ㄓˋ ㄐㄧㄤ	動漫	失憶投捕
智慧之神	12	ㄓˋ ㄏㄨㄟˋ ㄓ ㄕㄣˊ	動漫	虛構推理
暗殺教室	24	ㄢˋ ㄕㄚ ㄐㄧㄠˋ ㄕˋ	動漫	暗殺教室
暗殺時間	14	ㄢˋ ㄕㄚ ㄕˊ ㄐㄧㄢ	動漫	暗殺教室
暗殺者	17	ㄢˋ ㄕㄚ ㄓㄜˇ	動漫	世界頂尖的暗殺者轉生為異世界貴族
曉美焰	21	ㄒㄧㄠˇ ㄇㄟˇ ㄧㄢˋ	動漫	魔法少女小圓
更科瑠夏	12	ㄍㄥˋ ㄎㄜ ㄌㄧㄡˊ ㄒㄧㄚˋ	動漫	租借女友
更遠	22	ㄍㄥˋ ㄩㄢˇ	動漫	比宇宙更遠的地方
書架	19	ㄕㄨ ㄐㄧㄚˋ	動漫	丹特麗安的書架
曼恩	15	ㄇㄢˋ ㄣ	動漫	Cyberpunk: Edgerunners
替身	15	ㄊㄧˋ ㄕㄣ	動漫	JOJO的奇妙冒險
最強	22	ㄗㄨㄟˋ ㄑㄧㄤˊ	動漫	平凡職業造就世界最強
最強的世界	12	ㄗㄨㄟˋ ㄑㄧㄤˊ ㄉㄜ˙ ㄕˋ ㄐㄧㄝˋ	動漫	別對映像研出手！
最高	13	ㄗㄨㄟˋ ㄍㄠ	動漫	PLUTO冥王
會長是	21	ㄏㄨㄟˋ ㄓㄤˇ ㄕˋ	動漫	會長是女僕大人
月亮	15	ㄩㄝˋ ㄌㄧㄤˋ	動漫	美少女戰士
月光下	19	ㄩㄝˋ ㄍㄨㄤ ㄒㄧㄚˋ	動漫	月光下的異世界之旅
月刊	23	ㄩㄝˋ ㄎㄢ	動漫	月刊少女野崎同學
月城雪兔	13	ㄩㄝˋ ㄔㄥˊ ㄒㄩㄝˇ ㄊㄨˋ	動漫	庫洛魔法使
月宮亞由	15	ㄩㄝˋ ㄍㄨㄥ ㄧㄚˇ ㄧㄡˊ	動漫	Kanon
月山習	16	ㄩㄝˋ ㄕㄢ ㄒㄧˊ	動漫	東京喰種
月島流星	14	ㄩㄝˋ ㄉㄠˇ ㄌㄧㄡˊ ㄒㄧㄥ	動漫	女神咖啡廳
月島螢	14	ㄩㄝˋ ㄉㄠˇ ㄧㄥˊ	動漫	排球少年
月色真美	19	ㄩㄝˋ ㄙㄜˋ ㄓㄣ ㄇㄟˇ	動漫	月色真美
月野兔	23	ㄩㄝˋ ㄧㄝˇ ㄊㄨˋ	動漫	美少女戰士
有借有還	15	ㄧㄡˇ ㄐㄧㄝˋ ㄧㄡˇ ㄏㄞˊ	動漫	烏龍派出所
有樂亭八雲	18	ㄧㄡˇ ㄌㄜˋ ㄊㄧㄥˊ ㄅㄚ ㄩㄣˊ	動漫	昭和元祿落語心中
有田春雪	18	ㄧㄡˇ ㄊㄧㄢˊ ㄔㄨㄣ ㄒㄩㄝˇ	動漫	加速世界
有馬佳奈	16	ㄧㄡˇ ㄇㄚˇ ㄐㄧㄚ ㄋㄞˋ	動漫	我推的孩子
有馬公生	22	ㄧㄡˇ ㄇㄚˇ ㄍㄨㄥ ㄕㄥ	動漫	四月是你的謊言
有馬貴將	11	ㄧㄡˇ ㄇㄚˇ ㄍㄨㄟˋ ㄐㄧㄤ	動漫	東京喰種
朋友	6725	ㄆㄥˊ ㄧㄡˇ	動漫	20世紀少年
服部平次	13	ㄈㄨˊ ㄅㄨˋ ㄆㄧㄥˊ ㄘˋ	動漫	名偵探柯南
朝倉新	18	ㄔㄠˊ ㄘㄤ ㄒㄧㄣ	動漫	坂本日常
朝比奈	15	ㄔㄠˊ ㄅㄧˇ ㄋㄞˋ	動漫	涼宮春日的憂鬱
朝田詩乃	15	ㄔㄠˊ ㄊㄧㄢˊ ㄕ ㄋㄞˇ	動漫	刀劍神域
朝野太陽	18	ㄔㄠˊ ㄧㄝˇ ㄊㄞˋ ㄧㄤˊ	動漫	夜櫻家大作戰
木下秀吉	12	ㄇㄨˋ ㄒㄧㄚˋ ㄒㄧㄡˋ ㄐㄧˊ	動漫	笨蛋，測驗，召喚獸
木之下和也	18	ㄇㄨˋ ㄓ ㄒㄧㄚˋ ㄏㄜˊ ㄧㄝˇ	動漫	租借女友
木之本桃矢	11	ㄇㄨˋ ㄓ ㄅㄣˇ ㄊㄠˊ ㄕˇ	動漫	庫洛魔法使
木之本櫻	22	ㄇㄨˋ ㄓ ㄅㄣˇ ㄧㄥ	動漫	庫洛魔法使
木刀之龍	12	ㄇㄨˋ ㄉㄠ ㄓ ㄌㄨㄥˊ	動漫	通靈王
木原紡	11	ㄇㄨˋ ㄩㄢˊ ㄈㄤˇ	動漫	來自風平浪靜的明日
木木	12	ㄇㄨˋ ㄇㄨˋ	動漫	赤髮白雪姬
木村達也	9	ㄇㄨˋ ㄘㄨㄣ ㄉㄚˊ ㄧㄝˇ	動漫	第一神拳
木野真琴	15	ㄇㄨˋ ㄧㄝˇ ㄓㄣ ㄑㄧㄣˊ	動漫	美少女戰士
未來日記	22	ㄨㄟˋ ㄌㄞˊ ㄖˋ ㄐㄧˋ	動漫	未來日記
未來的信	12	ㄨㄟˋ ㄌㄞˊ ㄉㄜ˙ ㄒㄧㄣˋ	動漫	orange橘色奇蹟
未聞花名	24	ㄨㄟˋ ㄨㄣˊ ㄏㄨㄚ ㄇㄧㄥˊ	動漫	未聞花名
本城蓮	16	ㄅㄣˇ ㄔㄥˊ ㄌㄧㄢˊ	動漫	NANA
本田未央	14	ㄅㄣˇ ㄊㄧㄢˊ ㄨㄟˋ ㄧㄤ	動漫	偶像大師灰姑娘女孩
本田透	22	ㄅㄣˇ ㄊㄧㄢˊ ㄊㄡˋ	動漫	水果籃子
本田速人	14	ㄅㄣˇ ㄊㄧㄢˊ ㄙㄨˋ ㄖㄣˊ	動漫	烏龍派出所
本間芽衣子	19	ㄅㄣˇ ㄐㄧㄢ ㄧㄚˊ ㄧ ㄗ˙	動漫	未聞花名
札克席茲	12	ㄓㄚˊ ㄎㄜˋ ㄒㄧˊ ㄗ	動漫	潘朵拉之心
朱伊斯	11	ㄓㄨ ㄧ ㄙ	動漫	不死不運
朱菜	15	ㄓㄨ ㄘㄞˋ	動漫	關於我轉生變成史萊姆這檔事
朴武真	11	ㄆㄨˊ ㄨˇ ㄓㄣ	動漫	高校之神
朵拉	15	ㄉㄨㄛˇ ㄌㄚ	動漫	天空之城
朽木白哉	12	ㄒㄧㄡˇ ㄇㄨˋ ㄅㄞˊ ㄗㄞ	動漫	BLEACH死神
朽木露琪亞	21	ㄒㄧㄡˇ ㄇㄨˋ ㄌㄨˋ ㄑㄧˊ ㄧㄚˇ	動漫	BLEACH死神
杉下京太郎	15	ㄕㄢ ㄒㄧㄚˋ ㄐㄧㄥ ㄊㄞˋ ㄌㄤˊ	動漫	WIND BREAKER防風少年
杉元	14	ㄕㄢ ㄩㄢˊ	動漫	黃金神威
杉元佐一	21	ㄕㄢ ㄩㄢˊ ㄗㄨㄛˇ ㄧ	動漫	黃金神威
杉山高志	14	ㄕㄢ ㄕㄢ ㄍㄠ ㄓˋ	動漫	強風吹拂
杉崎鍵	18	ㄕㄢ ㄑㄧˊ ㄐㄧㄢˋ	動漫	學生會的一存
李娜莉李	14	ㄌㄧˇ ㄋㄚˋ ㄌㄧˋ ㄌㄧˇ	動漫	驅魔少年
李小狼	17	ㄌㄧˇ ㄒㄧㄠˇ ㄌㄤˊ	動漫	庫洛魔法使
李月龍	16	ㄌㄧˇ ㄩㄝˋ ㄌㄨㄥˊ	動漫	BANANA FISH
李牧	11	ㄌㄧˇ ㄇㄨˋ	動漫	王者天下
村坂梓	12	ㄘㄨㄣ ㄅㄢˇ ㄗˇ	動漫	orange橘色奇蹟
村尾修子	13	ㄘㄨㄣ ㄨㄟˇ ㄒㄧㄡ ㄗ˙	動漫	青春之旅
村重結月	13	ㄘㄨㄣ ㄓㄨㄥˋ ㄐㄧㄝˊ ㄩㄝˋ	動漫	躍動青春
村野里美	16	ㄘㄨㄣ ㄧㄝˇ ㄌㄧˇ ㄇㄟˇ	動漫	寄生獸
村長	48	ㄘㄨㄣ ㄓㄤˇ	動漫	荒川爆笑團
杜山詩惠美	14	ㄉㄨˋ ㄕㄢ ㄕ ㄏㄨㄟˋ ㄇㄟˇ	動漫	青之驅魔師
杜拉瓦利	20	ㄉㄨˋ ㄌㄚ ㄨㄚˇ ㄌㄧˋ	動漫	零之使魔
杜諾爾	11	ㄉㄨˋ ㄋㄨㄛˋ ㄦˇ	動漫	小魔女學園
杰哈	13	ㄐㄧㄝˊ ㄏㄚ	動漫	晨曦公主
東京卍會	14	ㄉㄨㄥ ㄐㄧㄥ ㄨㄢˋ ㄏㄨㄟˋ	動漫	東京復仇者
東京喰種	23	ㄉㄨㄥ ㄐㄧㄥ ㄘㄢ ㄓㄨㄥˇ	動漫	東京喰種
東京復仇者	24	ㄉㄨㄥ ㄐㄧㄥ ㄈㄨˋ ㄔㄡˊ ㄓㄜˇ	動漫	東京復仇者
東和馬	16	ㄉㄨㄥ ㄏㄜˊ ㄇㄚˇ	動漫	烘焙王
東堂盡八	11	ㄉㄨㄥ ㄊㄤˊ ㄐㄧㄣˋ ㄅㄚ	動漫	飆速宅男
東方仗助	16	ㄉㄨㄥ ㄈㄤ ㄓㄤˋ ㄓㄨˋ	動漫	JOJO的奇妙冒險
東條希	10	ㄉㄨㄥ ㄊㄧㄠˊ ㄒㄧ	動漫	Love Live!
東雲名乃	14	ㄉㄨㄥ ㄩㄣˊ ㄇㄧㄥˊ ㄋㄞˇ	動漫	日常
松前緒花	17	ㄙㄨㄥ ㄑㄧㄢˊ ㄒㄩˋ ㄏㄨㄚ	動漫	花開物語
松岡凜	14	ㄙㄨㄥ ㄍㄤ ㄌㄧㄣˇ	動漫	Free!男子游泳部
